CODIGO,2000,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
saude_tx_mortalidade_infantil,,14.09,15.2,14.02,14.96,13.97,13.2,11.94,11.69,13.38,12.11,14.23,12.75,12.58,14.47,12.33,10.65,12.56,13.16,12.77,13.91
saude_exp_vida,70.08,,,,,74.96,,,,,,,,,,,,,,,
saude_cob_APS,,,,,,73.89,72.42,77.52,78.73,79.73,67.27,78.8,82.63,82.38,79.48,75.99,,,,,
saude_cob_BCG,"104,89","90,10","96,01","97,30","101,18","94,80","107,36","99,04","102,71","110,54","112,06","101,97","102,89","111,51","109,70","51,09","46,98","47,39",,,
educ_mat_crches,,,,,,3221,3558,3940,4553,4696,5113,6002,6046,6094,6261,5617,4094,6223,6437,6186,6041
educ_mat_preescola,,,,,,13037,14905,14567,15871,15587,14263,14601,14652,14915,14927,14129,12166,13665,14241,14498,13295
educ_mat_anos_iniciais,,,,,,115386,114862,110410,113859,109639,102593,102846,99424,97382,96094,94414,89729,90673,89415,89922,86414
educ_mat_anos_finais,,,,,,26826,26399,26481,25962,26828,26515,26678,26154,25125,24172,24220,23646,25183,23487,22536,21394
educ_tx_analfab_11a14,,,,,,1.39,,,,,,,,,,,,,,,
educ_tx_analfab_15a17,,,,,,1.02,,,,,,,,,,,,,,,
educ_tx_analfab_18a24,,,,,,0.82,,,,,,,,,,,,,,,
educ_tx_analfab_25a29,,,,,,0.94,,,,,,,,,,,,,,,
educ_tx_analfab_25mais,,,,,,4.25,,,,,,,,,,,,,,,
educ_tx_evasao_fundamental,,,,,,,,,4.3,6.4,,,,,,,,,,,
educ_tx_evasao_medio,,,,,,,,,8.9,10.2,,,,,,,,,,,
seg_tx_homicidio_doloso,,,,,,,,,,345,281,320,406,331,261,281,202,146,133,82,
seg_ameacas,,,,,,,,,,5394,4016,3368,2455,2198,2440,1405,1247,1587,1942,2132,
seg_estelionato,,,,,,,,,,1339,1421,1404,1178,1309,1330,1675,1984,4413,4218,4210,
seg_preconceitos_todos,,,,,,,,,,4,4,2,7,,,5,6,9,28,23,
seg_latrocinio,,,,,,,,,,14,22,16,25,11,16,9,12,3,2,4,
seg_injuria,,,,,,,,,,2380,1593,1739,1368,1191,1591,810,730,1015,1245,1532,
seg_desaparecidos,,,,,,,,,,396,333,321,238,213,211,131,153,179,215,208,
seg_tentativa_estup,,,,,,,,,,32,29,19,20,7,17,8,7,9,5,6,
assist_tx_pobreza_desigualdade,,,,,,,,,,,,,,,,,,,,,
assist_porcent_vulneraveis_pobreza_pnad,,,,,,,,21.34,11.5,47.44,34.53,,,,,,,,,,
assist_porcent_pobres_pnad,,,,,,,,,,,,,3.03,1.55,12.91,6.19,33.55,21.16,5.74,3.08,
assist_porcent_cadunico_bolsafamilia,,,,,,,,,,78.79,73.72,67.41,69.03,,,,,,,,
assist_abrigos,,,,,,,,,4,,,,,,,,,,,,
assist_centropop,,,,,,,,,2,,,,,,,,,,,,
assist_creas,,,,,,,,,5,,,,,,,,,,,,
assist_cras,,,,,,,,,18,,,,,,,,,,,,
saneamentob_ind_agua_encanada,,,,,,,,,90.08,,,,,,,,,,,,
saneamentob_ind_esgoto,,,,,,,,,33.7,,,,,,,,,,,,
saneamentob_ind_trat_esgoto,,,,,,,,,15.49,,,,,,,,,,,,
saneamentob_ind_coleta_seletiva,,,,,,93,,,,,,,,,,,,90.4,,,
saneamentob_ind_internacoes_mortes_saneamento_inadequado,,,25,1537,1119,1429,1369,919,511,250,93,119,62,67,66,70,54,,,,
desenvecono_empregos_formais,,,,,,,,,,,,115129,109554,107336,105766,101908,108186,117288,110177,114852,118482
desenvecono_potencial_economico,,,,,,,,,,,,,,,,,,,,,
desenvecono_emprego_industrial,,,,,,,,,,,,17281,14925,13940,14108,14077,15448,18384,19567,21162,21429
desenvecono_emprego_comercio,,,,,,,,,,,,34265,33108,31542,30710,29905,31646,31684,31891,31932,32477
desenvecono_emprego_servicos,,,,,,,,,,,,46544,42895,43071,43569,38074,40951,45445,46215,47880,50375
desenvecono_emprego_adm_publica,,,,,,,,,,,,16955,18429,18728,17360,19834,20118,21631,12329,13794,14070
desenvecono_emprego_agricultura,,,,,,,,,,,,84,197,55,19,18,23,144,175,84,131
moburb_frota_microonibus,,1369,1588,1713,1808,1743,1696,1718,1760,1927,1988,1959,1928,1920,1965,1977,1982,1984,1946,1944,1948
moburb_frota_onibus,,1754,1887,2014,2258,2670,2954,3185,3202,3252,3399,3340,3239,3090,2940,2748,2523,2412,2389,2317,2319
moburb_frota_motocicleta,,12483,16624,20338,22676,25672,29156,32370,35175,38111,40663,43049,45448,47903,50617,52411,55824,59327,65036,71074,76447
moburb_frota_automoveis,,90.884,98.317,107.479,117.794,128.623,140.038,155.031,169.69,183.027,193.611,202.522,210.005,216.357,223.776,228.887,233.72,236.912,239.907,243.628,247.239
meioamb_emissoes_liquida_gases_estufa,,,,,,1.089.970.49,,,,,,,,,,,,,,,
